time,freemem@tsung_controller@ip-172-31-28-38 
0,3510.41015625 
10,3515.5625 
20,3512.06640625 
30,3509.8984375 
40,3504.953125 
50,3497.83984375 
60,3488.5234375 
70,3478.76171875 
80,3475.703125 
90,3459.78515625 
100,3448.80859375 
110,3440.453125 
120,3434.71484375 
130,3409.50390625 
140,3405.05859375 
150,3387.19921875 
160,3384.734375 
170,3383.8984375 
180,3381.2578125 
190,3380.3125 
200,3379.796875 
210,3378.29296875 
220,3378.11328125 
230,3386.2421875 
240,3392.078125 
250,3392.16015625 
252,3390.6640625 
