time,freemem@tsung_controller@ip-172-31-28-38 
0,3516.8359375 
10,3517.37890625 
20,3514.25390625 
30,3507.43359375 
40,3506.29296875 
50,3497.46875 
60,3489.20703125 
70,3479.48828125 
80,3464.453125 
90,3458.078125 
100,3442.92578125 
110,3424.0234375 
120,3419.19921875 
130,3417.359375 
140,3390.36328125 
150,3386.140625 
160,3383.8515625 
170,3383.38671875 
180,3381.69921875 
190,3381.359375 
200,3380.1953125 
210,3380.640625 
220,3379.57421875 
230,3387.0703125 
240,3395.30859375 
246,3397.59375 
